submitted_symbol	official_symbol	flybase_id	current_fullname	symbol_synonyms	secondary_flybase_ids	annotation_id	match_type	ambiguous
dac	dac	FBgn0005677	dachshund	BG:DS02780.3|CG4952|DAC|Dac|Dac2-3|Dach|dach|Dachs|Dachshund|Dm-DAC|l(2)36Ae|l(2)rK364|spn		CG4952	official_symbol	Yes
Dbx	Dbx	FBgn0261723	Dbx	CG12361|CG13925|CG42234|DBX|dbx|dDbx	FBgn0062390,FBgn0250756,FBgn0035291,FBgn0035292	CG42234	official_symbol	Yes
Deaf1	Deaf1	FBgn0013799	Deformed epidermal autoregulatory factor-1	CG8567|DEAF-1|Deaf-1|DEAF1|deaf1|l(3)76BDv		CG8567	official_symbol	No
Dfd	Dfd	FBgn0000439	Deformed	BG:DS00276.5|CG2189|DFD|dfd|DmDfd|EbR11|l(3)84Ae		CG2189	official_symbol	No
Dif	Dif	FBgn0011274	Dorsal-related immunity factor	6794|CG6794|DIF|dif|Dif2|NF-kappaB|NF-KB|NF-κB|NFkappaB|NFκB		CG6794	official_symbol	Yes
disco	disco	FBgn0000459	disconnected	CG9908|disc|DISCO|Disco		CG9908	official_symbol	No
dl	dl	FBgn0260632	dorsal	anon-EST:GressD7|CG6667|DL|Dl|dL|Dor|Dorsal|dorsal|fs(2)k10816|GSd447|mat(2)dorsal|NF-kappaB|NF-KB|NF-κB|NFkappaB|NFκB|p65	FBgn0000462,FBgn0025325,FBgn0260285	CG6667	official_symbol	Yes
Dlip3	Dlip3	FBgn0040465	Dorsal interacting protein 3	anon-WO0118547.169|CG12767|diap3|Dip3|dip3|dlip3	FBgn0034302,FBgn0062195	CG12767	official_symbol	Yes
Dll	Dll	FBgn0000157	Distal-less	2.7|Art|Ba|BcDNA:LP01770|CG3629|Distal-less|DLL|dll|E(Arp)|En(Arp)|l(2)01092|l(2)387	FBgn0010474,FBgn0026807,FBgn0063133	CG3629	official_symbol	No
Doc1	Doc1	FBgn0028789	Dorsocross1	CG5133|Dm-DOC1|Doc|doc|Doc-1|doc1|Dorsocross1|ECT2|Ect2|Tb66F2|TBX6		CG5133	official_symbol	Yes
Dp	Dp	FBgn0011763	DP transcription factor	49Fk|CG4654|dDP|dDp|DDP1|dDP1|DmDP|DP|dp|DP1|Dp1|l(2)49Fk|l(2)vr10|TFPD2|vr10	FBgn0002082	CG4654	official_symbol	Yes
dpn	dpn	FBgn0010109	deadpan	44C|anon-EST:fe1B12|bHLHe50|CG8704|Deadpan|DPN|Dpn	FBgn0025271	CG8704	official_symbol	No
Dr	Dr	FBgn0000492	Drop	153515_at|99B|CG1897|Dr/Msh|Dr/msh|Drop|l(3)FA30|ltt|Msh|msh|msh-1|msh1|Msx	FBgn0002849,FBgn0015510,FBgn0020528	CG1897	official_symbol	Yes
Dref	Dref	FBgn0015664	DNA replication-related element factor	CG5838|dDREF|DmDREF|Dmel_DREF|DREF|dref|p80|p80/DREF	FBgn0010077	CG5838	official_symbol	No
dsf	dsf	FBgn0015381	dissatisfaction	CG9019|dissatisfaction|DSF|Dsf|NR2E4		CG9019	official_symbol	No
Dsp1	Dsp1	FBgn0278608	Dorsal switch protein 1	CG12223|DSP1|dsp1|hmg|Hmg14B|Hmg14D|HMGB1|HMGD1|Ssrp2|ssrp2	FBgn0011764,FBgn0015237,FBgn0015301,FBgn0019980	CG12223	official_symbol	Yes
dsx	dsx	FBgn0000504	doublesex	CG11094|Dmdsx|doublesex|DSX|Dsx|DSXF|dsxF|DSXM|dsxM|Hr|ix-62c		CG11094	official_symbol	No
dwg	dwg	FBgn0000520	deformed wings	CG2711|CG2714|DWG|Dwg|EG:95B7.6|l(1)3Be|l(1)zw5|SBP|Sbp|ves|ZW-5|Zw-5|zw-5|ZW5|Zw5|zw5	FBgn0003974,FBgn0024976,FBgn0026052	CG2711	official_symbol	No
dysf	dysf	FBgn0290398	dysfusion	CG12561|CG14552|CG14553|CG14554|CG32474|dNXFL|Dys|dys|DYSF|Dysf|l(3)CHh|NXFL	FBgn0039411,FBgn0039409,FBgn0039410,FBgn0039412,FBgn0086424	CG32474	official_symbol	No
E(spl)m3-HLH	E(spl)m3-HLH	FBgn0002609	Enhancer of split m3, helix-loop-helix	bHLHc14|CG8346|E(spl)-C|E(Spl)-HLH-m3|E(spl)-m3|E(spl)C|E(spl)C m3|E(spl)M3|E(spl)m3|HLH-m3|HLHM3|HLHm3|m3	FBgn0010046	CG8346	official_symbol	No
E(spl)m5-HLH	E(spl)m5-HLH	FBgn0002631	Enhancer of split m5, helix-loop-helix	bHLHb36|CG6096|E(spl) m5|E(spl) transcription unit m5|E(spl)-M5|E(spl)-m5|E(spl)M5|E(spl)m5|HLH-m5|HLHm5|M5|m5		CG6096	official_symbol	No
E(spl)m7-HLH	E(spl)m7-HLH	FBgn0002633	Enhancer of split m7, helix-loop-helix	bHLHb35|CG8361|E(spl) m7|E(spl)-M7|E(spl)-m7|E(SPL)m7|E(spl)M7|E(spl)m7|En(spl)m7|ESPL|HLH-m7|HLHm7|HlHm7|M7|m7	FBgn0020009,FBgn0020922	CG8361	official_symbol	No
E(spl)m8-HLH	E(spl)m8-HLH	FBgn0000591	Enhancer of split m8, helix-loop-helix	anon-EST:Liang-1.71|bHLHb36|CG8365|clone 1.71|E(Spl)|E(spl)|e(spl)|E(spl) m8|E(spl)-C|E(spl)-M8|E(spl)-m8|E(spl)bHLH|E(spl)M8|E(spl)m8|e(spl)m8|E(Spl)m8-HLH|En(spl)|En(spl)-C|Enhancer of split m8|Espl|HES|Hes|HLHm8|l(3)96Fd|M8|m8|Su(H)[[m8]]		CG8365	official_symbol	No
E(spl)mdelta-HLH	E(spl)mdelta-HLH	FBgn0002734	Enhancer of split mdelta, helix-loop-helix	bHLHc14|CG8328|E(Spl) HLH-m delta|E(spl) mdelta|E(spl) mδ|E(Spl)-HLH-mdelta|E(Spl)-HLH-mδ|E(spl)-mdelta|E(spl)-mδ|E(spl)delta|E(spl)mC|E(spl)Mdelta|E(spl)mdelta|E(spl)mdelta-HLH|E(spl)Mδ|E(spl)mδ|E(spl)δ|HLH-mdelta|HLH-mδ|HLHmC|HLHMD|HLHMdelta|HLHmdelta|HLHMδ|HLHmδ|m delta|mC|md|Mdelta|mdelta|mdelta0.5|Mδ|mδ|mδ0.5		CG8328	official_symbol	No
E(spl)mgamma-HLH	E(spl)mgamma-HLH	FBgn0002735	Enhancer of split mgamma, helix-loop-helix	anon-EST:Liang-1.49|bHLHb34|CG8333|clone 1.49|Dm-mB|E(Spl) HLH-m gamma|E(spl) m gamma|E(spl) mg|E(spl) mgamma|E(spl) mγ|E(spl)-Mgamma|E(spl)-mgamma|E(spl)-Mγ|E(spl)-mγ|E(spl)gamma|E(spl)m-gamma|E(spl)mB|E(spl)Mgamma|E(spl)mgamma|e(spl)mgamma|E(spl)mgamma-HLH|E(spl)Mγ|E(spl)mγ|E(spl)γ|EE(spl)mgamma-HLH|EE(spl)mγ-HLH|Enhancer of split mgamma|Enhancer of split mγ|gamma|HLH-mgamma|HLH-mγ|HLHmB|HlHmg|HLHMgamma|HLHmgamma|HLHMγ|HLHmγ|m gamma|mB|mg|Mgamma|mgamma|Mγ|mγ|γ		CG8333	official_symbol	No
e(y)3	e(y)3	FBgn0087008	enhancer of yellow 3	CG12238|E(y)3|e(y)[3]|e(y3|l(1)G0084|l(1)G0266|l(1)G0283|l(1)G0381|l(1)G0409|SAYP|SayP|sayp	FBgn0000619,FBgn0027204,FBgn0027235,FBgn0027245,FBgn0028301,FBgn0031046,FBgn0026680	CG12238	official_symbol	No
E2f1	E2f1	FBgn0011766	E2F transcription factor 1	CG6376|dE2F|dE2f|dE2F1|dE2f1|de2f1|def21|DmE2F-1|Dp|drosE2F1|DRTF1/E2F|E(Sev-CycE)3A|E(var)3-93E|E(var)3-95E|E(var)93E|E2F|E2f|e2f|E2F transcription factor 1|E2F-1|E2F1|E2f1|e2F1|e2f1|Evar(3)164|l(3)07172|l(3)j3B1|l(3)j3C2|l(3)rM729	FBgn0010918,FBgn0011343,FBgn0011351,FBgn0011520,FBgn0011767,FBgn0013944,FBgn0016652	CG6376	official_symbol	No
E2f2	E2f2	FBgn0024371	E2F transcription factor 2	CG1071|dE2F-2|dE2F2|dE2f2|de2f2|E2F|E2f|E2F2|e2f2		CG1071	official_symbol	No
E5	E5	FBgn0008646	E5	CG9930	FBgn0038187	CG9930	official_symbol	Yes
EcR	EcR	FBgn0000546	Ecdysone receptor	anon-WO0229075.1|CG1765|CG8347|DEcR|dECR|Dhr23|DmEcR|dmEcR|EcdR|ECR|Ecr|ecr|EcR-A|EcR-B|EcR-B1|ECR-C|EcR1b|Ecr1B|EcRA|EcRB|EcRB-1|EcRB1|EcrB1|EcRC|lie|ms(2)06410|ms(2)42A|NR1H1|snt|USP|Usp	FBgn0011242,FBgn0021762,FBgn0033064,FBgn0062534	CG1765	official_symbol	No
Eip74EF	Eip74EF	FBgn0000567	Ecdysone-induced protein 74EF	3.3|74EF|CG32180|CG6273|CG6285|DmE74|E-74|E74|e74|E74-B|E74A|E74A/B|E74B|e74B|e74b|ECIP|Eip74|Eip74 A|Eip74A|Eip74E|Eip74ef|eip74EF|eip74ef|l(3)24|l(3)neo24|mE74	FBgn0011459,FBgn0026806,FBgn0036739,FBgn0052180	CG32180	official_symbol	No
emc	emc	FBgn0000575	extra macrochaetae	0094/26|0203/10|0587/01|0977/09|Ach|bHLHb28|CG1007|Dm0688|Emc|gov|l(3)04322|l(3)05592|l(3)61Da|l(3)j4E11|ms(3)61CD	FBgn0010839,FBgn0010869,FBgn0011251,FBgn0011371,FBgn0013464	CG1007	official_symbol	No
ems	ems	FBgn0000576	empty spiracles	ant|CG2988|E4|empty spiracles|EMS|Ems|W13	FBgn0000145	CG2988	official_symbol	No
en	en	FBgn0000577	engrailed	153867_at|Apa|CG9015|EN|En|en1|Eng|Engr|Engrailed|engrailed|Engrailed/Invected|EnR|Es|spa2|spt|V	FBgn0003492,FBgn0014157,FBgn0016969	CG9015	official_symbol	No
ERR	ERR	FBgn0035849	estrogen-related receptor	CG7404|Derr|dERR|NR3B4		CG7404	official_symbol	Yes
esg	esg	FBgn0287768	escargot	4B7|BG01042|BG:DS07851.7|br43|CG3758|dgl|Esg|flg|l(2)07082|l(2)35Ce|l(2)4B7|l(2)br43|l(2)esg|l35Ce|shof|wiz	FBgn0001981,FBgn0000445,FBgn0011711,FBgn0015967,FBgn0263955	CG3758	official_symbol	No
eve	eve	FBgn0000606	even skipped	10.5|10.9|14.10|20.35|CG2328|Dm-eve|dm-eve|E(eve)|EVE|Eve|eve2|Even|even|F|l(2)46Ce|l(2)46CFg|l(2)46CFh|l(2)46CFj|l(2)46CFp|l(2)46Cg|V|VI	FBgn0014159,FBgn0014984,FBgn0015483,FBgn0017400,FBgn0019712,FBgn0019718,FBgn0019720,FBgn0019721,FBgn0019816,FBgn0023205	CG2328	official_symbol	No
exd	exd	FBgn0000611	extradenticle	anon-EST:fe1H3|CG8933|DExd|Dm-EXD|Dpbx|EXD|Exd|l(1)IV|lincRNA.S9404|Pbx1|td48	FBgn0010248,FBgn0025242	CG8933	official_symbol	No
exex	exex	FBgn0041156	extra-extra	CG8254|DHB9|dHB9|dHb9|dhb9|Exex|HB9|Hb9|hb9	FBgn0035828	CG8254	official_symbol	No
ey	ey	FBgn0005558	eyeless	CG1464|DPax-6|EY|Ey|Ey/Pax6|eye|EYEL|eyeless|l(4)102CDh|l(4)102CDr|l(4)33|OK107|Pax-6|Pax6|pax6|Pax6/ey	FBgn0000616,FBgn0004525,FBgn0004547,FBgn0010156	CG1464	official_symbol	No
eyg	eyg	FBgn0000625	eyegone	BK27|Bk27|CG10488|EYG|Eyg|lun	FBgn0011647	CG10488	official_symbol	No
Fer1	Fer1	FBgn0037475	48 related 1	BcDNA:RH30329|bHLHa30|CG10066|CG14611|CG33323|fer1	FBgn0037476,FBgn0053323,FBgn0063658	CG33323	official_symbol	Yes
Fer3	Fer3	FBgn0037937	48 related 3	BcDNA:LD04689|bHLHa32|CG6913|Dnato3|fer3|nato3	FBgn0062470	CG6913	official_symbol	Yes
foxo	foxo	FBgn0038197	forkhead box, sub-group O	3143|Afx|Akh|anon-WO0118547.374|CG3143|cg3143|DFOXO|DfoxO|Dfoxo|dFOXO|dFoXo|dFoxO|dFoxo|dfoxO|dfoxo|DmQ95V5|dsfoxo|fd88A|FKHR|FOXO|FoxO|Foxo|fOXO|foxO|FOXO1|Foxo1|Q95V55|TORC	FBgn0062059	CG3143	official_symbol	No
ftz	ftz	FBgn0001077	fushi tarazu	BG:DS07876.1|CG2047|Dm-Ftz|Dm-ftz|DmFtz|Dmftz|FTZ|Ftz|l(3)84Ag|Ual	FBgn0014176	CG2047	official_symbol	No
ftz-f1	ftz-f1	FBgn0001078	ftz transcription factor 1	alphaFTZ-F1|alphaftz-f1|alphaFTZF1|beta FTZ-F1|beta Ftz-f1|beta-FTZ-F1|beta-Ftz-F1|betaFTZ-F1|betaFtz-F1|betaFtz-f1|betaftz-F1|betaftz-f1|betaFTZF1|betaftzf1|BFTZ-F1|bFTZ-F1|CG13378|CG4059|DEP1|dFTZ-F1alpha|dFtz-F1alpha|dFTZ-F1α|dFtz-F1α|DmFTZ-F1|dmFTZ-f1|FIP1|FTZ-F1|Ftz-F1|Ftz-f1|ftz-F1|FTZ-F1A|FTZ-F1alpha|ftz-f1alpha|FTZ-F1α|ftz-f1α|FTZ-Fl|ftz_f1|FTZF1|Ftzf1|ftzF1|ftzf1|FTZf1alpha|FTZf1α|l(3)03649|NR5A3|αFTZ-F1|αftz-f1|αFTZF1|β FTZ-F1|β Ftz-f1|β-FTZ-F1|β-Ftz-F1|βFTZ-F1|βFtz-F1|βFtz-f1|βftz-F1|βftz-f1|βFTZF1|βftzf1	FBgn0010807,FBgn0040788	CG4059	official_symbol	No
GATAe	GATAe	FBgn0038391	GATAe	CG10278|CG10278-PA|dGATA-E|dGATAe|GATAE		CG10278	official_symbol	No
gcm	gcm	FBgn0014179	glial cells missing	CG12245|GCM|Gcm|GCM1|GCMa|glide|glide/gcm|l(2)N7-4|N7-4|ucc	FBgn0014259	CG12245	official_symbol	No
gl	gl	FBgn0004618	glass	CG7672|E(sina)5|Gl|Gla|gla|Glass|glass|none|rh|SS3-2|SY3-3	FBgn0001107,FBgn0002960	CG7672	official_symbol	Yes
grau	grau	FBgn0001133	grauzone	CG3282|CG33133|Grau|Grauzone	FBgn0034571,FBgn0053133	CG33133	official_symbol	No
grh	grh	FBgn0259211	grainy head	BcDNA:LD38807|CG30111|CG42311|CG5058|DREB|EG:191D12.1|Elf-1|Elf-1/NTF-1|ELF1|Elf1|elf1|elf1(CAG)[[7]]|Gh|GRH|Grh|hsk|l(2)06850|l(2)IM45|l(2)s2140|NTF|Ntf|NTF-1|ntf-1|NTF-1/Elf-1|NTF1|Ntf1|SN2-1	FBgn0004586,FBgn0000572,FBgn0001136,FBgn0010628,FBgn0010683,FBgn0013964,FBgn0014968,FBgn0026798,FBgn0050111,FBgn0047195	CG42311	official_symbol	No
grn	grn	FBgn0001138	grain	CG9656|CG9656-PA|dGATA-2|dGATAc|dGatac|Gata-c|Gata2|GATAc|gra|GRAIN|Grn|l(3)84Fa	FBgn0004213,FBgn0015228,FBgn0019991	CG9656	official_symbol	No
gsb	gsb	FBgn0001148	gooseberry	BSH-9|BSH9|BSH9c2|CG3388|Gsb|gsb-2|GSB-D|Gsb-d|gsb-d|gsb-distal|gsbBSH9|gsbd|l(2)01155|l(2)gsb		CG3388	official_symbol	Yes
gsb-n	gsb-n	FBgn0001147	gooseberry-neuro	BSH-4|BSH4|CG2692|gsb|GSB-N|Gsb-n|gsb-neuro|Gsb-p|gsb-p|GsbN|Gsbn|gsbN|gsbn|gsbp		CG2692	official_symbol	No
Gsc	Gsc	FBgn0010323	Goosecoid	60Mun1|60Mun2|CG2851|D-Gsc|D-gsc|GSC|gsc|l(2)05341|M72|PPH25|Pph25	FBgn0004887,FBgn0008637,FBgn0010598	CG2851	official_symbol	No
gt	gt	FBgn0001150	giant	CG7952|Dm-gt|DM17|EG:BACH7M4.5|GIAN_DROME|Giant|giant|GT|Gt|l(1)3Aa|l(1)giant		CG7952	official_symbol	Yes
Gug	Gug	FBgn0010825	Grunge	Atro|atro|CG6964|GUG|gug|l(3)01323|l(3)03928|l(3)j5A3|l(3)rO116|l(3)S146907	FBgn0011373,FBgn0011523,FBgn0020427,FBgn0024868,FBgn0035897	CG6964	official_symbol	Yes
h	hry	FBgn0001168	hairy	8247|bHLHb39|bHLHc14|brr|CG6494|dDr1|H|h|Hairy|hairy|HRY|hry|l(3)08247|l(3)rM384	FBgn0011517,FBgn0019807,FBgn0019998	CG6494	synonym	Yes
H2.0	H2.0	FBgn0001170	Homeodomain protein 2.0	CG11607		CG11607	official_symbol	No
Hand	Hand	FBgn0032209	Hand	bHLHa28|CG18144|Dhand|dHAND|dHand|HAND|hand|hand-C		CG18144	official_symbol	No
hb	hb	FBgn0001180	hb transcription factor	CG9786|Dm-Hb|Dm-hb|HB|Hb|hbHLH|Hunchback|l(3)85Ah|R-pbx|Rg-bx|Rg-pbx	FBgn0015224	CG9786	official_symbol	Yes
hbn	hbn	FBgn0008636	homeobrain	57San|CG10614|CG15647|CG15648|CG33152|Hbn	FBgn0034561,FBgn0034562,FBgn0040654,FBgn0053152	CG33152	official_symbol	No
HHEX	HHEX	FBgn0038852	Hematopoietically expressed homeobox	CG7056|dHHEX		CG7056	official_symbol	No
hkb	hkb	FBgn0261434	huckebein	5953|anon-82B3|CG9768|gurt|HKB|Hkb	FBgn0086720,FBgn0001204,FBgn0014111	CG9768	official_symbol	No
Hmx	Hmx	FBgn0264005	H6-like-homeobox	CG18139|CG34419|CG43748|CG5829|CG5832|DHmx|hmx	FBgn0038522,FBgn0085448,FBgn0038521,FBgn0014858,FBgn0038520	CG43748	official_symbol	No
Hnf4	Hnf4	FBgn0004914	Hepatocyte nuclear factor 4	CG9310|dHNF-4|dHNF4|dHnf4|DmHNF4|HNF-4|Hnf-4|HNF-4(D)|Hnf-4h|HNF4|hnf4|HNF4alpha|HNF4α|NHF4|NR2A4	FBgn0032062	CG9310	official_symbol	No
Hr3	Hr3	FBgn0000448	Hormone receptor 3	12.6|2.4|CG11823|CG12208|CG33183|D|DHR3|Dhr3|dHR3|dhr3|DmHr3|DmRORalpha|DmRORα|HR3|Hr3|Hr46|hr46|l(2)46CFi|l(2)k09242|NR1F4	FBgn0019719,FBgn0026805,FBgn0033496	CG33183	official_symbol	No
Hr38	Hr38	FBgn0014859	Hormone receptor-like in 38	38E.3|38E.7|CG1864|DHR38|Dhr38|dHR38|dhr38|HR38|hr38|l(2)02306|NR4A4	FBgn0010510	CG1864	official_symbol	No
Hr39	Hr39	FBgn0261239	Hormone receptor-like in 39	betaFTZ-E1|CG8676|dFTZ-F1beta|dFTZ-F1β|DHR30|DHR39|DHR39/Ftz-F1beta|DHR39/Ftz-F1β|EP(2)2490|fs(2)04443|fs(2)neo8|FTZ-F1B|FTZ-F1beta|ftz-F1beta|ftz-f1beta|FTZ-F1β|ftz-F1β|ftz-f1β|Hr-39|HR39|HR39C|i70|NR5B1|βFTZ-E1	FBgn0010229,FBgn0014175,FBgn0013458,FBgn0026243	CG8676	official_symbol	No
Hr78	Hr78	FBgn0015239	Hormone-receptor-like in 78	CG7199|DHR78|Dhr78|HR78|Hr78D|NR2D1|XR78E/F		CG7199	official_symbol	No
Hr83	Hr83	FBgn0037436	Hormone receptor 83	CG10296|DHR83|HR83|NR2E5		CG10296	official_symbol	No
Hr96	Hr96	FBgn0015240	Hormone receptor-like in 96	CG11783|DHR96|Dhr96|dHR96|HR96|NR1J1		CG11783	official_symbol	No
Hsf	Hsf	FBgn0001222	Heat shock factor	CG5748|D-HSF|dHSF|dHSF1|dHSFa|Dm-Hsf|DmHSF|DmHSFa|heat shock factor|HSF|hsf|hsf-1|HSF1|Hsf1|hsf1|HSFa|l(2)03091	FBgn0010529,FBgn0020929	CG5748	official_symbol	Yes
hth	hth	FBgn0001235	homothorax	1323/07|1422/04|anon-EST:Liang-2.13|CG17117|clone 2.13|Dm-HTH|dtl|homothorax|HTH|Hth|hth1|hth2|l(3)05745|l(3)86Ca|MEIS1|Meis1|P53	FBgn0010875,FBgn0011583,FBgn0015762,FBgn0016022,FBgn0025968	CG17117	official_symbol	No
ind	ind	FBgn0025776	intermediate neuroblasts defective	CG11551|Ind|ind/Gsx		CG11551	official_symbol	Yes
inv	inv	FBgn0001269	invected	CG17835|Engrailed/Invected|er|in|INV|Inv|IV		CG17835	official_symbol	Yes
Irbp18	Irbp18	FBgn0036126	Inverted repeat binding protein 18 kDa	BCAT1|BcDNA:GH10915|CEBPG|CG6272|CT19628|DM10|IRBP18	FBgn0063258	CG6272	official_symbol	No
Jon99Fii	Jon99Fii	FBgn0039777	Jonah 99Fii	CG2229|Jon99F|Jon99FII|Jon99fii|SP135	FBgn0001289	CG2229	official_symbol	No
Jra	Jra	FBgn0001291	Jun-related antigen	AP-1|Ap-1|AP1|Ap1|c-Jun|CG2275|cJun|cjun|d-JRA|D-Jun|D-jun|d-Jun|d-jun|D-jun/Jra|D.Jun|dAP-1|dJRA|dJra|DJUN|DJun|Djun|dJUN|dJun|djun|dm-Jun|DM14|JRA|jra|JUN|Jun|jun|l(2)46Ef|l(2)IA109|l(2R)IA109|V	FBgn0002124,FBgn0015487,FBgn0017591,FBgn0023037	CG2275	official_symbol	No
kay	kay	FBgn0001297	kayak	AP-1|AP1|Ap1|c-Fos|c-fos|CG15507|CG15509|CG33956|D-Fos|D-fos|d-Fos|d-fos|D-fos/kay|dAP-1|DFOS|DFos|Dfos|dFos|dfos|DFra|dFRA|dFra|dlhD|DM3|DM30|fbz|FOS|Fos|fos|Fra|fra|KAY|Kay|kayak	FBgn0053956,FBgn0000468,FBgn0000725,FBgn0003506,FBgn0039693	CG33956	official_symbol	No
kni	kni	FBgn0001320	knirps	CG4717|Dm-kni|Kn|kn|KNI|Kni|KNIRPS|NR0A1|ri	FBgn0003253,FBgn0017615	CG4717	official_symbol	No
Kr	Kr	FBgn0001325	Kr transcription factor	CG3340|Dm-Kr|If|KR|kr|Kru|Kruppel	FBgn0001251,FBgn0015732	CG3340	official_symbol	No
l(1)sc	l(1)sc	FBgn0002561	lethal of scute	AS-C T3|AS-T3|ASC-T3|ascT3|bHLHc28|CG3839|EG:198A6.2|L'Sc|L'sc|l'sc|l(1)1Ba|L(1)sc|l-sc|l[1]sc|lsc|sc/T3|T3		CG3839	official_symbol	Yes
lab	lab	FBgn0002522	labial	BG:DS00004.9|CG1264|Dm lab|DmLab|Dmlab|EfR9|F121|F24|F90|F90-2|l(3)01241|l(3)84Ac|LAB|Lab|lb	FBgn0010742	CG1264	official_symbol	Yes
lbe	lbe	FBgn0011278	ladybird early	CG6545|Hox11-D125|Lb|lb|Lbe|NK?	FBgn0010394	CG6545	official_symbol	No
lbl	lbl	FBgn0008651	ladybird late	CG6570|Lb|lb|Lbl|lbllbe|NK?|NKch4|nkch4		CG6570	official_symbol	Yes
Lim1	Lim1	FBgn0026411	LIM homeobox 1	BcDNA:GH04929|CG10760|CG11354|dlim-1|Dlim1|dLim1|dlim1|Lim|LIM1|lim1	FBgn0028495,FBgn0030064	CG11354	official_symbol	No
Lim3	Lim3	FBgn0002023	Lim3	CG10699|CG15174|l(2)37Bd|l(2)Bd|Lim-3A|LIM3|lim3|Lim3A	FBgn0032756	CG10699	official_symbol	No
lmd	lmd	FBgn0039039	lame duck	anon-EST:CL2d4|CG4677|gfl|gfl.Imd|gfl.lmd|K|LMD|Lmd|minc	FBgn0019860	CG4677	official_symbol	No
lms	lms	FBgn0034520	lateral muscles scarcer	CG13424|Lms		CG13424	official_symbol	No
Lmx1a	Lmx1a	FBgn0052105	LIM homeobox transcription factor 1 alpha	CG10432|CG17615|CG32105|dLmx1a	FBgn0036275,FBgn0036276	CG32105	official_symbol	No
lz	lz	FBgn0002576	lozenge	amx|CG1689|fs(1)A1569|fs(1)M69|Lozenge|lozenge|LZ|Lz|spe		CG1689	official_symbol	No
Mad	Mad	FBgn0011648	Mothers against dpp	2/23|apg|c28|CG12399|dMAD|dMad|E(zen)2|En(vvl)|l(2)K00237|l(2)k00237|MAD|mad|Mat|P-Mad|P-mad|p-MAD|p-Mad|PMad|pMAD|pMad|pSmad|SMAD|Smad|Smad1	FBgn0000105,FBgn0013945,FBgn0022270,FBgn0024356	CG12399	official_symbol	Yes
maf-S	maf-S	FBgn0034534	maf-S	anon-EST:Posey173|CG9954|DM19|DM31|Maf|maf|MAF-S|Maf-S|maf2|MafS|mafS|mafs	FBgn0020275,FBgn0027740	CG9954	official_symbol	No
Max	Max	FBgn0017578	Max	bHLHd9|CG9648|dMax|dmax|MAX|max		CG9648	official_symbol	Yes
MBD-like	MBD-like	FBgn0027950	Methyl-CpG binding domain protein-like	CG8208|Dm Mbd2/3|dMBD-like|dMBD2/3|dMbD2/3|DmMbd2/3|MBD2|MBD2-3|MBD2/3|MBD3	FBgn0029156	CG8208	official_symbol	No
mbf1	mbf1	FBgn0262732	multiprotein bridging factor 1	BcDNA:GH10148|BcDNA:GM01267|CG4143|MBF-1|Mbf-1|MBF1|Mbf1|MRE4	FBgn0026208,FBgn0027555,FBgn0063210,FBgn0086536	CG4143	official_symbol	No
Med	Med	FBgn0288966	Medea	3R16|anon-EST:Posey121|CG1775|demented|DMT|dSmad4|E(zen)3|l(3)11m-254|l(3)12m-137|l(3)SG36|l(3)SG70|l(3)XIIm137|MED|med|Medea|medea|SMAD4|Smad4|smad4	FBgn0011655,FBgn0002479,FBgn0002509,FBgn0013946,FBgn0027760,FBgn0015927	CG1775	official_symbol	Yes
Mef2	Mef2	FBgn0011656	Myocyte enhancer factor 2	22.21|BEST:SD04091|C|CG1429|D-MEF2|D-Mef2|D-mef2|DMedf2|Dmef|DMEF-2|DMef-2|Dmef-2|DMEF2|DMef2|Dmef2|dMEF2|dMEf2|dMef2|dmef2|l(2)46CFr|mb247|Mef|mef|MEF-2|Mef-2|mef-2|MEF2|mef2|MEF2C|mef2c|SD04091	FBgn0010437,FBgn0019710,FBgn0047353	CG1429	official_symbol	No
Met	Met	FBgn0002723	Methoprene-tolerant	bHLHe59|CG1705|DmMet|MET|Met|met|Met/Met1|Mett|Rst(1)JH		CG1705	official_symbol	Yes
Mi-2	Mi-2	FBgn0262519	Mi-2	0006/06|0854/01|CG8103|Chd4|Dm-Mi-2|dMi|dMI-2|dMi-2|dMi2|hip76|l(3)01058|l(3)76BDe|l(3)A154.3M3|l(3)j3D4|l(3)L1243|l(3)S000606|l(3)S085401|M-i2|Mi 2|MI-2|MI2|Mi2|Pha|pha	FBgn0013591,FBgn0010735,FBgn0011790,FBgn0028080,FBgn0028245,FBgn0024536	CG8103	official_symbol	No
mip120	mip120	FBgn0033846	Myb-interacting protein 120	CG6061|l(3)L4569|MIP120|Mip120|p120		CG6061	official_symbol	No
mirr	mirr	FBgn0014343	mirror	CG10601|cre|crep|De1|De3|DH1|Group F|group F|Iro|iro|IRO-C|Iro-C|iro-C|IroC|l(3)69Ca|l(3)69Da|l(3)6D1|l(3)A5-3-42|mir|MIRR|Mirr|Mrr|mrr|Sai	FBgn0013332,FBgn0013561,FBgn0013593,FBgn0016017,FBgn0017368,FBgn0020310	CG10601	official_symbol	No
Mondo	Mondo	FBgn0032940	Mondo	154826_at|anon-39Da|bHLHd12|CG18362|ChREBP|dmondo|gene Y|Mio|mio|mlx|Mondo|mondo|Mondo-Mlx	FBgn0041170	CG18362	official_symbol	No
